"Id","LotArea","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","Exterior1st","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","TotalBsmtSF","Heating","X1stFlrSF","LowQualFinSF","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageArea","GarageCond","PavedDrive","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","Overall_Groups","condition"
1,9.04204005654448,"CollgCr","Norm","1Fam","2Story",7,5,"Gable","VinylSd",5.28320372873799,"Gd","TA","PConc","Gd","TA",6.75343791859778,"GasA",6.75343791859778,0,1,"Gd",8,"Typ",0,"Attchd",6.30809844150953,"TA","Y",0,0,2,2008,"WD","Normal",12.2476991163726,2,"Average"
2,9.16962253869762,"Veenker","Feedr","1Fam","1Story",6,8,"Gable","MetalSd",0,"TA","TA","CBlock","Gd","TA",7.14124512235049,"GasA",7.14124512235049,0,1,"TA",6,"Typ",1,"Attchd",6.13339804299665,"TA","Y",0,0,5,2007,"WD","Normal",12.1090164423137,3,"Good"
3,9.32821229257107,"CollgCr","Norm","1Fam","2Story",7,5,"Gable","VinylSd",5.09375020080676,"Gd","TA","PConc","Gd","TA",6.82546003625531,"GasA",6.82546003625531,0,1,"Gd",6,"Typ",1,"Attchd",6.4118182677099,"TA","Y",0,0,9,2008,"WD","Normal",12.3171711672987,2,"Average"
4,9.16440114003474,"Crawfor","Norm","1Fam","2Story",7,5,"Gable","Wd Sdng",0,"TA","TA","BrkTil","TA","Gd",6.62936325343745,"GasA",6.86901445066571,0,1,"Gd",7,"Typ",1,"Detchd",6.46614472423762,"TA","Y",0,0,2,2006,"WD","Abnorml",11.8494048444231,2,"Average"
5,9.56528381773677,"NoRidge","Norm","1Fam","2Story",8,5,"Gable","VinylSd",5.86078622346587,"Gd","TA","PConc","Gd","TA",7.04403289727469,"GasA",7.04403289727469,0,1,"Gd",9,"Typ",1,"Attchd",6.72982407048948,"TA","Y",0,0,12,2008,"WD","Normal",12.4292201968364,2,"Average"
6,9.55506418479516,"Mitchel","Norm","1Fam","1.5Fin",5,5,"Gable","VinylSd",0,"TA","TA","Wood","Gd","TA",6.68085467879022,"GasA",6.68085467879022,0,1,"TA",5,"Typ",0,"Attchd",6.17586727010576,"TA","Y",0,6.55250788703459,10,2009,"WD","Normal",11.8706069022246,2,"Average"
7,9.21880445038831,"Somerst","Norm","1Fam","1Story",8,5,"Gable","VinylSd",5.23110861685459,"Gd","TA","PConc","Ex","TA",7.43070708254597,"GasA",7.43543801981455,0,1,"Gd",7,"Typ",1,"Attchd",6.45676965557216,"TA","Y",0,0,8,2007,"WD","Normal",12.634606283893,2,"Average"
8,9.24792513230345,"NWAmes","PosN","1Fam","2Story",7,6,"Gable","HdBoard",5.48479693349065,"TA","TA","CBlock","Gd","TA",7.01031186730723,"GasA",7.01031186730723,0,1,"TA",7,"Typ",2,"Attchd",6.18414889093748,"TA","Y",0,5.86078622346587,11,2009,"WD","Normal",12.2060776455177,2,"Average"
9,8.71948076085107,"OldTown","Artery","1Fam","1.5Fin",7,5,"Gable","BrkFace",0,"TA","TA","BrkTil","TA","TA",6.8596149036542,"GasA",6.93049476595163,0,2,"TA",8,"Min1",2,"Detchd",6.15060276844628,"TA","Y",0,0,4,2008,"WD","Abnorml",11.7745279008585,2,"Average"
10,8.91206909797013,"BrkSide","Artery","2fmCon","1.5Unf",5,6,"Gable","MetalSd",0,"TA","TA","BrkTil","TA","TA",6.89972310728487,"GasA",6.98286275146894,0,2,"TA",5,"Typ",2,"Attchd",5.32787616878958,"TA","Y",0,0,1,2008,"WD","Normal",11.6784483779882,2,"Average"
11,9.32375833901174,"Sawyer","Norm","1Fam","1Story",5,5,"Hip","HdBoard",0,"TA","TA","CBlock","TA","TA",6.94793706861497,"GasA",6.94793706861497,0,1,"TA",5,"Typ",0,"Detchd",5.95324333428778,"TA","Y",0,0,2,2008,"WD","Normal",11.7714438820996,2,"Average"
12,9.38639231575654,"NridgHt","Norm","1Fam","2Story",9,5,"Hip","WdShing",5.65948221575962,"Ex","TA","PConc","Ex","TA",7.06987412845857,"GasA",7.07580886397839,0,1,"Ex",11,"Typ",2,"BuiltIn",6.60258789218934,"TA","Y",0,0,7,2006,"New","Partial",12.75130259456,2,"Average"
